passage_number,passage_key,translation_run_id,profile_name,profile_label,is_focal,model,candidate_words,reference_words,bleu4,chrfpp,meteor,rouge_l,unigram_f1,trigram_f1,char_trigram_f1,word_edit_similarity,candidate_text,reference_text
1,xin-shi-wei-zhong-01,1,classical_chinese_focal_scholarly,Focal Scholarly Translation,true,gpt-5.5,40,42,0.39416778,0.67000473,0.72612562,0.75609756,0.75609756,0.41025641,0.70163934,0.69047619,"The heart-mind is the center: it dwells in the midst of the body and rules it as lord; the four—eyes, ears, mouth, and heels/feet—serve as its ministers. This heart-mind is what is called the center.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,3,parallage_01_diplomatic_literal,Diplomatic Literal,false,gpt-5.5,36,42,0.32553414,0.60248606,0.67566791,0.74358974,0.74358974,0.35135135,0.69624573,0.69047619,"The heart/mind: the center. It dwells in the center of the body in order to rule it; the four—eyes, ears, mouth, and heels—serve as ministers. The heart/mind: this is called the center.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,5,parallage_02_interlinear_gloss,Interlinear Gloss,false,gpt-5.5,226,42,0.03505157,0.30264936,0.52899105,0.25185185,0.27611940,0.08333333,0.21900161,0.14601770,"| character or short phrase | function | gloss | notes |
|---|---|---|---|
| 心 | topic / subject | the heart-mind | Classical 心 can mean “heart,” “mind,” or “heart-mind.” |
| 中 | predicate / definition | the center / central | Could be read as “is central” or “is the center.” |
| 處 | verb | dwells / is situated | Literally “occupies a place.” |
| 身之中 | locative phrase | in the middle of the body | 身 = body; 之 marks modification: “the body’s middle.” |
| 以 | purposive / instrumental marker | in order to / thereby | Links the heart’s position with its ruling function. |
| 君之 | verb + object | rule it / be lord over it | 君 as verb: “to act as ruler/lord”; 之 likely refers to the body, though the exact referent is not explicit. |
| 目、耳、口、踵 | list of nouns | eyes, ears, mouth, heels | 踵 literally “heel”; perhaps standing for the lower extremities/feet, but the text says “heels.” |
| 四者 | summative phrase | these four | Refers to the four listed items. |
| 為 | copular / functional verb | serve as / act as | Introduces their role. |
| 相 | noun / role | ministers / assistants | 相 can mean “minister,” “assistant,” or “supporting officer.” |
| 心 | resumed subject | the heart-mind | Repeats the topic. |
| 是謂 | formulaic phrase | this is called / this is what is meant by | 是 = “this”; 謂 = “call, say.” |
| 中 | term being defined | center / centrality | Repeats the key term 中. |

Aligned gloss translation:

“The heart-mind is the center: it is situated in the middle of the body and thereby rules it. The eyes, ears, mouth, and heels—these four serve as ministers/assistants. The heart-mind: this is what is called the center.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,7,parallage_03_syntax_scaffold,Syntax Scaffold,false,gpt-5.5,79,42,0.10067206,0.48404327,0.51315371,0.49180328,0.54545455,0.25641026,0.46706587,0.32911392,"**Translation**

The **heart/mind** is the **center**:  
[it dwells in the center of the body and thereby acts as its lord];  
[the four—eyes, ears, mouth, and heels—serve as ministers/assistants].  
The heart/mind—this is what is called “center.”

**Syntax map**

- **心，中**: topic + definition: “The heart/mind is the center.”
- **處身之中以君之**: “[dwelling in the body’s middle] + thereby [ruling/lording over it].”
- **目、耳、口、踵四者為相**: “eyes, ears, mouth, heels—the four—serve as ministers.”
- **心是謂中**: “As for the heart/mind, this is called ‘center.’”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,9,parallage_04_minimal_inference,Minimal Inference,false,gpt-5.5,40,42,0.23225619,0.61192078,0.69961762,0.70731707,0.73170732,0.30769231,0.68125000,0.52380952,"The heart-mind is the center: it occupies the middle of the body and thereby rules it. The eyes, ears, mouth, and heels—these four—serve as its ministers/assistants. This is why the heart-mind is called “the center.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,11,parallage_05_scholarly_readable,Scholarly Readable,false,gpt-5.5,86,42,0.15239196,0.54746072,0.63270584,0.50000000,0.54687500,0.33870968,0.43539823,0.30232558,"**Translation**

The heart-mind is the center. It resides in the midst of the body and rules it; the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the center.

**Glossary**

- **心 (*xin*)**: “heart-mind”; the organ/faculty of cognition and command.  
- **中 (*zhong*)**: “center,” “middle”; here both spatial and governing centrality.  
- **君 (*jun*)**: “to rule as lord/ruler.”  
- **相 (*xiang*)**: “minister,” “assistant”; subordinate functionaries serving the ruler.  
- **踵 (*zhong*)**: “heel(s),” possibly standing more broadly for the feet or lower bodily movement.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,13,parallage_06_smooth_idiomatic,Smooth Idiomatic,false,gpt-5.5,37,42,0.48367078,0.71468608,0.76250706,0.81012658,0.78481013,0.56000000,0.78145695,0.73809524,"The heart-mind is the center. It occupies the middle of the body and thereby rules it; the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called “the center.”","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,15,parallage_07_message_paraphrase,Message Paraphrase,false,gpt-5.5,161,42,0.04455797,0.36509654,0.46466245,0.29556650,0.33497537,0.12060302,0.28373702,0.16770186,"**Translation**

The heart-mind is the “center.” It occupies the middle of the body and rules over it. The eyes, ears, mouth, and heels—these four serve as its ministers or assistants. This is why the heart-mind is called the center.

**Anchor notes**

1. **心** → “heart-mind”: the term can include both feeling and thinking, not just the physical heart.  
2. **中** → “center”: both a bodily middle and a governing central position may be implied.  
3. **處身之中** → “occupies the middle of the body”: a literal spatial reading.  
4. **以君之** → “rules over it”: **君** is used verbally, “to act as ruler/lord.”  
5. **目、耳、口、踵** → “eyes, ears, mouth, and heels”: four bodily parts named as subordinate functions.  
6. **踵** → “heels”: possibly standing for the feet or movement more broadly, but the literal word is “heels.”  
7. **四者為相** → “these four serve as its ministers or assistants”: **相** suggests ministers who aid a ruler.  
8. **心是謂中** → “This is why the heart-mind is called the center”: restates the definition after explaining its ruling role.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,17,parallage_08_controlled_english,Controlled English,false,gpt-5.5,49,42,0.28904576,0.59400275,0.62851684,0.68131868,0.65934066,0.29885057,0.60623229,0.53061224,"The heart-mind is the center.  
The heart-mind dwells in the center of the body and thereby rules the body.  
The four things—the eyes, the ears, the mouth, and the heels, perhaps meaning the feet—serve as ministers.  
The heart-mind is what is called the center.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
1,xin-shi-wei-zhong-01,19,parallage_09_analyst_brief,Analyst Brief,false,gpt-5.5,99,42,0.05553677,0.42235285,0.52935010,0.40845070,0.43971631,0.14598540,0.38187702,0.24242424,"- **Main claim:** “The heart/mind is the center”: it is called **zhong** (“center,” “middle,” possibly “centrality”).
- **Agency:** The heart/mind “dwells in the middle of the body and rules it”; the eyes, ears, mouth, and heels are treated as its **ministers/assistants**.
- **Causal relation:** Because the heart/mind occupies the body’s central position and governs the other parts, it is what is termed the “center.”
- **Uncertainty / interpretive risk:** **心** may mean “heart,” “mind,” or “heart-mind”; **中** may be spatial “middle/center” or carry a more normative sense. **踵** literally means “heel,” but may stand more broadly for the feet or movement.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
