lemma_id,lemma,source_words,translation_cells,mean_xcomet,reviewer_set
2054,Καβαλίς,47,44,0.3210333917628635,True
2055,Καβασσός,74,44,0.36643148349090054,True
2056,Καβειρία,81,44,0.26156951216134156,False
2057,Καβελλιών,23,44,0.7312417138706554,False
2058,Καβύλη,16,44,0.7348150502551686,False
2059,Καδμεία,17,44,0.6526775156909769,True
2060,Κάδοι,13,44,0.7763417891480706,False
2061,Καδούσιοι,11,44,0.856937825679779,False
2062,Κάθαια,17,44,0.7599778175354004,False
2074,Καικῖνον,6,44,0.7962355241179466,False
2075,Καινίνη,10,44,0.8452859277074988,False
2076,Καινοί,7,44,0.9099256843328476,False
2077,Καιρή,11,44,0.7926503948189996,False
2078,Καινύς,16,44,0.8807725201953541,False
2079,Καισάρεια,30,44,0.6190242110328241,False
2080,Καλαβρία,13,44,0.7879425056956031,True
2081,Καλάθη,32,44,0.36287854103879497,False
2082,Καλάμαι,5,44,0.9485615491867065,False
2083,Καλαμένθη,16,44,0.3731669837778265,False
2084,Κάλαρνα,10,44,0.8822261989116669,False
2085,Καλάσιρις,10,44,0.7569433620030229,False
2086,Καλατίαι,5,44,0.8265621486035261,False
2087,Καλαύρεια,20,44,0.7374047914689238,False
2114,Κάλβιος,15,44,0.5288034027273004,False
2115,Καλὴ ἀκτή,49,44,0.17575329305096107,True
2116,Κάληρος,25,44,0.4037758870558305,False
2117,Καλησία,12,44,0.7359670427712527,False
2118,Καλλάτηβος,8,44,0.9035310704599727,False
2119,Κάλλατις,47,44,0.28840913115577266,False
2325,Καλλίαι,17,44,0.8509445501999422,True
2326,Καλλίαρος,31,44,0.3163212683390487,False
2327,Καλλιόπη,11,44,0.5642674931071021,False
2328,Καλλίπολις,31,44,0.4176098281009631,False
2329,Κάλπη,36,44,0.3062026686966419,True
2330,Καλύβη,14,44,0.5896589857610789,True
2331,Κάλυδνα,29,44,0.5032473341985182,False
2332,Καλυδών,15,44,0.723753150891174,False
2333,Κάλυμνα,26,44,0.4802381856874986,False
2334,Κάλυνδα,10,44,0.7552112869241021,False
2335,Κάλυτις,17,44,0.46638410606167535,False
2342,Κάμιρος,47,44,0.31815318356860767,False
2345,Κάναθα,17,44,0.6690718301317908,False
2346,Κάναι,60,44,0.2303594916381619,False
2455,Κάναστρον,43,44,0.28584218702533026,False
2465,Κάνωπος,62,44,0.3203673003749414,False
2468,Καπετώλιον,95,44,0.2649404440413822,False
2470,Καππαδοκία,59,44,0.3061482828449119,False
2477,Καρδαμύλη,35,44,0.4271972511302341,True
2484,Καρία,194,44,0.18197673626921393,True
2597,Καρπασία,83,44,0.2572456921704791,False
2599,Καρπήσιοι,7,44,0.8716196336529471,False
2602,Καρύανδα,25,44,0.534910424189134,False
2603,Κάρυστος,138,44,0.26725453985008324,False
2604,Καρχηδών,90,44,0.26615567539225926,False
2605,Κάσιον,45,44,0.3230031864209609,False
2607,Κάσος,47,44,0.3327700746330348,False
2609,Κάσπειρος,90,44,0.36899989436973224,True
2620,Κάσταξ,15,44,0.46979781511155044,False
2621,Κάστνιον,20,44,0.4670483923771165,False
2622,Καστωλοῦ πεδίον,29,44,0.4551229172132232,False
2623,Κασώριον,15,44,0.5146563039584593,False
2624,Κατάβαθμος,16,44,0.6396712823347612,True
2625,Κατακεκαυμένη,34,44,0.4923416159369729,False
2626,Κατάνη,68,44,0.22681461816484277,False
2627,Κατάνειρα,12,44,0.5526389256119728,False
2628,Καταονία,17,44,0.7173443761738864,False
2629,Καταννοί,8,44,0.82000647214326,True
2630,Κάτρη,18,44,0.7203612476587296,False
2802,Κάδρεμα,14,44,0.7071330235763029,False
3258,Κεκρυφάλεια,17,44,0.7425682463429191,False
3288,Κορώνεια,77,44,0.22297314723784273,False
3496,Κοτιάειον,48,44,0.27794906767931854,False
3513,Κρανίδες,11,44,0.8030367602001537,False
3530,Κριώα,17,44,0.5002460554242134,False
7242,Κύρβη,8,44,0.7731225490570068,True
7243,Κύρη,15,44,0.5937629531730305,False
7244,Κυρήνη,35,44,0.34366614066741685,False
7245,Κύρης,10,44,0.7632164809514176,False
7246,Κύρις,13,44,0.6674202907491814,False
7247,Κύρνος,34,44,0.3853236348791556,False
7248,Κύρου πόλις,24,44,0.6645424657247283,False
7249,Κύρρος,33,44,0.3978284109722484,True
7250,Κυρταία,29,44,0.3437836434353482,False
7251,Κύρτος,49,44,0.32598887316205283,False
7252,Κύρτωνες,20,44,0.5639700808308341,True
7253,Κυρτώνιος,14,44,0.7685878249731931,True
7254,Κύτα,59,44,0.2341618145054037,False
7255,Κυτέριον,18,44,0.39802374419840897,True
7256,Κύτινα,22,44,0.7342846569689837,False
7257,Κυτώνιον,14,44,0.5809477019039068,False
7258,Κύτωρος,22,44,0.37041810764507815,False
7259,Κύφος,41,44,0.3159428797662258,False
7260,Κυχρεῖος πάγος,47,44,0.4968523552471941,True
7261,Κύψελα,23,44,0.7275031574747779,False
7262,Κῶβρυς,12,44,0.5593497543172403,False
7263,Κώθων,15,44,0.7431743693622676,False
7264,Κωλιάς,43,44,0.22950016605583104,False
7265,Κῶλοι,18,44,0.5844065587628972,False
7266,Κώμη,56,44,0.12163766761395065,True
7267,Κωνώπη,47,44,0.4901898374611681,False
